collection,repeat_id,decision,final_T,final_B_pool,k_requested,selected_policy,reference_policy,loss,success,param_error,seed
trec-covid,44,recalibration,5,480,5,ad_probe,ad_c(full_target_scalar_reference),0.004862061532017639,True,58.93261963858998,2044032
trec-covid,44,selection,5,480,5,ad_probe,best_in_menu_on_eval,0.0,True,,2044032
trec-covid,45,recalibration,5,463,5,ad_probe,ad_c(full_target_scalar_reference),0.006211658826098004,False,78.4777126244175,2045032
trec-covid,45,selection,5,463,5,ad_probe,best_in_menu_on_eval,0.0,True,,2045032
trec-covid,46,recalibration,5,484,5,ad_probe,ad_c(full_target_scalar_reference),0.002988509645386661,True,26.03325693549681,2046032
trec-covid,46,selection,5,484,5,ad_probe,best_in_menu_on_eval,0.0,True,,2046032
trec-covid,47,recalibration,5,474,5,ad_probe,ad_c(full_target_scalar_reference),0.007070480977732163,False,91.3445756816509,2047032
trec-covid,47,selection,5,474,5,ad_probe,best_in_menu_on_eval,0.0,True,,2047032
trec-covid,48,recalibration,5,451,5,ad_probe,ad_c(full_target_scalar_reference),0.006501304471021277,False,64.53848907186833,2048032
trec-covid,48,selection,5,451,5,ad_probe,best_in_menu_on_eval,0.0,True,,2048032
trec-covid,49,recalibration,5,461,5,ad_probe,ad_c(full_target_scalar_reference),2.100748297437227e-05,True,2.490381342264243,2049032
trec-covid,49,selection,5,461,5,ad_probe,best_in_menu_on_eval,0.0,True,,2049032
trec-covid,0,recalibration,10,916,10,ad_probe,ad_c(full_target_scalar_reference),0.001383448108775831,True,16.92501153357682,901
trec-covid,0,selection,10,916,10,ad_probe,best_in_menu_on_eval,0.0,True,,901
trec-covid,1,recalibration,10,916,10,ad_probe,ad_c(full_target_scalar_reference),0.0057796864722764185,False,73.21900091588049,1901
trec-covid,1,selection,10,916,10,ad_probe,best_in_menu_on_eval,0.0,True,,1901
trec-covid,2,recalibration,10,910,10,ad_probe,ad_c(full_target_scalar_reference),0.0003864372385171122,True,3.3153805219808987,2901
trec-covid,2,selection,10,910,10,ad_probe,best_in_menu_on_eval,0.0,True,,2901
trec-covid,3,recalibration,10,884,10,ad_probe,ad_c(full_target_scalar_reference),0.007109755985166652,False,68.59860711239904,3901
trec-covid,3,selection,10,884,10,ad_probe,best_in_menu_on_eval,0.0,True,,3901
trec-covid,4,recalibration,10,934,10,ad_probe,ad_c(full_target_scalar_reference),0.006240473714712869,False,68.70516613150374,4901
trec-covid,4,selection,10,934,10,ad_probe,best_in_menu_on_eval,0.0,True,,4901
trec-covid,5,recalibration,10,896,10,ad_probe,ad_c(full_target_scalar_reference),0.002597138121323006,True,23.787486682904955,5901
trec-covid,5,selection,10,896,10,ad_probe,best_in_menu_on_eval,0.0,True,,5901
trec-covid,6,recalibration,10,990,10,ad_probe,ad_c(full_target_scalar_reference),0.005284552343758658,False,52.25548477995716,6901
trec-covid,6,selection,10,990,10,ad_probe,best_in_menu_on_eval,0.0,True,,6901
trec-covid,7,recalibration,10,933,10,ad_probe,ad_c(full_target_scalar_reference),0.0008204495599451606,True,10.78319928384451,7901
trec-covid,7,selection,10,933,10,ad_probe,best_in_menu_on_eval,0.0,True,,7901
trec-covid,8,recalibration,10,876,10,ad_probe,ad_c(full_target_scalar_reference),0.0022424816885018573,True,27.444392658492063,8901
trec-covid,8,selection,10,876,10,ad_probe,best_in_menu_on_eval,0.0,True,,8901
trec-covid,9,recalibration,10,911,10,ad_probe,ad_c(full_target_scalar_reference),0.008386031916836706,False,85.30880955078595,9901
trec-covid,9,selection,10,911,10,ad_probe,best_in_menu_on_eval,0.0,True,,9901
trec-covid,10,recalibration,10,866,10,ad_probe,ad_c(full_target_scalar_reference),0.0008769485389922976,True,8.29281794158021,10901
trec-covid,10,selection,10,866,10,ad_probe,best_in_menu_on_eval,0.0,True,,10901
trec-covid,11,recalibration,10,948,10,ad_probe,ad_c(full_target_scalar_reference),0.00249098375322368,True,24.910774031252032,11901
trec-covid,11,selection,10,948,10,ad_probe,best_in_menu_on_eval,0.0,True,,11901
trec-covid,12,recalibration,10,980,10,ad_probe,ad_c(full_target_scalar_reference),0.00038729690854599763,True,3.3153805219808987,12901
trec-covid,12,selection,10,980,10,ad_probe,best_in_menu_on_eval,0.0,True,,12901
trec-covid,13,recalibration,10,888,10,ad_probe,ad_c(full_target_scalar_reference),0.0013380857665287182,True,14.261819138880526,13901
trec-covid,13,selection,10,888,10,ad_probe,best_in_menu_on_eval,0.0,True,,13901
trec-covid,14,recalibration,10,880,10,ad_probe,ad_c(full_target_scalar_reference),0.005748564363904779,False,57.986178444180155,14901
trec-covid,14,selection,10,880,10,ad_probe,best_in_menu_on_eval,0.0,True,,14901
trec-covid,15,recalibration,10,939,10,ad_probe,ad_c(full_target_scalar_reference),0.003208862085569919,True,28.09904196654651,15901
trec-covid,15,selection,10,939,10,ad_probe,best_in_menu_on_eval,0.0,True,,15901
trec-covid,16,recalibration,10,866,10,ad_probe,ad_c(full_target_scalar_reference),0.0008146077936884849,True,8.29281794158021,16901
trec-covid,16,selection,10,866,10,ad_probe,best_in_menu_on_eval,0.0,True,,16901
trec-covid,17,recalibration,10,901,10,ad_probe,ad_c(full_target_scalar_reference),0.0069557734543192196,False,86.41937567281809,17901
trec-covid,17,selection,10,901,10,ad_probe,best_in_menu_on_eval,0.0,True,,17901
trec-covid,18,recalibration,10,961,10,ad_probe,ad_c(full_target_scalar_reference),0.007543458723138413,False,96.48905269054183,18901
trec-covid,18,selection,10,961,10,ad_probe,best_in_menu_on_eval,0.0,True,,18901
trec-covid,19,recalibration,10,868,10,ad_probe,ad_c(full_target_scalar_reference),0.0005828501226731453,True,2.171988483801215,19901
trec-covid,19,selection,10,868,10,ad_probe,best_in_menu_on_eval,0.0,True,,19901
trec-covid,20,recalibration,10,891,10,ad_probe,ad_c(full_target_scalar_reference),0.0046832724732914915,True,55.2705697688524,20901
trec-covid,20,selection,10,891,10,ad_probe,best_in_menu_on_eval,0.0,True,,20901
trec-covid,21,recalibration,10,943,10,ad_probe,ad_c(full_target_scalar_reference),0.0016090943283145198,True,12.691369608716457,21901
trec-covid,21,selection,10,943,10,ad_probe,best_in_menu_on_eval,0.0,True,,21901
trec-covid,22,recalibration,10,926,10,ad_probe,ad_c(full_target_scalar_reference),0.0006933002630035712,True,7.534291486908387,22901
trec-covid,22,selection,10,926,10,ad_probe,best_in_menu_on_eval,0.0,True,,22901
trec-covid,23,recalibration,10,953,10,ad_probe,ad_c(full_target_scalar_reference),0.0016911886083972039,True,11.771437796616283,23901
trec-covid,23,selection,10,953,10,ad_probe,best_in_menu_on_eval,0.0,True,,23901
trec-covid,24,recalibration,10,806,10,ad_probe,ad_c(full_target_scalar_reference),0.0031303888200941016,True,33.48840717737636,24901
trec-covid,24,selection,10,806,10,ad_probe,best_in_menu_on_eval,0.0,True,,24901
trec-covid,25,recalibration,10,877,10,ad_probe,ad_c(full_target_scalar_reference),0.005448920888041123,False,63.446454422966724,25901
trec-covid,25,selection,10,877,10,ad_probe,best_in_menu_on_eval,0.0,True,,25901
trec-covid,26,recalibration,10,909,10,ad_probe,ad_c(full_target_scalar_reference),0.004904362796383482,True,60.53785779806583,26901
trec-covid,26,selection,10,909,10,ad_probe,best_in_menu_on_eval,0.0,True,,26901
trec-covid,27,recalibration,10,915,10,ad_probe,ad_c(full_target_scalar_reference),0.00046249677623937113,True,1.378487496601167,27901
trec-covid,27,selection,10,915,10,ad_probe,best_in_menu_on_eval,0.0,True,,27901
trec-covid,28,recalibration,10,942,10,ad_probe,ad_c(full_target_scalar_reference),0.005685304548698186,False,59.99494593658477,28901
trec-covid,28,selection,10,942,10,ad_probe,best_in_menu_on_eval,0.0,True,,28901
trec-covid,29,recalibration,10,930,10,ad_probe,ad_c(full_target_scalar_reference),0.008238601178943317,False,128.65809718089457,29901
trec-covid,29,selection,10,930,10,ad_probe,best_in_menu_on_eval,0.0,True,,29901
trec-covid,30,recalibration,10,955,10,ad_probe,ad_c(full_target_scalar_reference),0.00692217876213061,False,79.65243244449721,30901
trec-covid,30,selection,10,955,10,ad_probe,best_in_menu_on_eval,0.0,True,,30901
trec-covid,31,recalibration,10,943,10,ad_probe,ad_c(full_target_scalar_reference),0.004085131987516158,True,37.78886901591136,31901
trec-covid,31,selection,10,943,10,ad_probe,best_in_menu_on_eval,0.0,True,,31901
trec-covid,32,recalibration,10,901,10,ad_probe,ad_c(full_target_scalar_reference),0.004927983604198091,True,75.4806856805011,32901
trec-covid,32,selection,10,901,10,ad_probe,best_in_menu_on_eval,0.0,True,,32901
trec-covid,33,recalibration,10,889,10,ad_probe,ad_c(full_target_scalar_reference),0.002623287057604909,True,27.444392658492063,33901
trec-covid,33,selection,10,889,10,ad_probe,best_in_menu_on_eval,0.0,True,,33901
trec-covid,34,recalibration,10,894,10,ad_probe,ad_c(full_target_scalar_reference),0.0017612690425211491,True,22.148562380429667,34901
trec-covid,34,selection,10,894,10,ad_probe,best_in_menu_on_eval,0.0,True,,34901
trec-covid,35,recalibration,10,844,10,ad_probe,ad_c(full_target_scalar_reference),0.0033240376262542864,True,37.87472942839182,35901
trec-covid,35,selection,10,844,10,ad_probe,best_in_menu_on_eval,0.0,True,,35901
trec-covid,36,recalibration,10,934,10,ad_probe,ad_c(full_target_scalar_reference),0.0007490206052462034,True,7.534291486908387,36901
trec-covid,36,selection,10,934,10,ad_probe,best_in_menu_on_eval,0.0,True,,36901
trec-covid,37,recalibration,10,926,10,ad_probe,ad_c(full_target_scalar_reference),0.0006465867810770548,True,8.63219359199661,37901
trec-covid,37,selection,10,926,10,ad_probe,best_in_menu_on_eval,0.0,True,,37901
trec-covid,38,recalibration,10,948,10,ad_probe,ad_c(full_target_scalar_reference),0.00043283152098483324,True,7.126293308257345,38901
trec-covid,38,selection,10,948,10,ad_probe,best_in_menu_on_eval,0.0,True,,38901
trec-covid,39,recalibration,10,869,10,ad_probe,ad_c(full_target_scalar_reference),0.004553700565226443,True,44.8506130777439,39901
trec-covid,39,selection,10,869,10,ad_probe,best_in_menu_on_eval,0.0,True,,39901
trec-covid,40,recalibration,10,914,10,ad_probe,ad_c(full_target_scalar_reference),0.005794709217319768,False,56.35229904657393,40901
trec-covid,40,selection,10,914,10,ad_probe,best_in_menu_on_eval,0.0,True,,40901
trec-covid,41,recalibration,10,942,10,ad_probe,ad_c(full_target_scalar_reference),0.000538898969858842,True,5.3832857950604875,41901
trec-covid,41,selection,10,942,10,ad_probe,best_in_menu_on_eval,0.0,True,,41901
trec-covid,42,recalibration,10,846,10,ad_probe,ad_c(full_target_scalar_reference),0.005512566747840425,False,68.44529327186035,42901
trec-covid,42,selection,10,846,10,ad_probe,best_in_menu_on_eval,0.0,True,,42901
trec-covid,43,recalibration,10,894,10,ad_probe,ad_c(full_target_scalar_reference),0.004005970565661127,True,47.98392361350659,43901
trec-covid,43,selection,10,894,10,ad_probe,best_in_menu_on_eval,0.0,True,,43901
trec-covid,44,recalibration,10,909,10,ad_probe,ad_c(full_target_scalar_reference),0.0027004379257113548,True,29.546685997245135,44901
trec-covid,44,selection,10,909,10,ad_probe,best_in_menu_on_eval,0.0,True,,44901
trec-covid,45,recalibration,10,986,10,ad_probe,ad_c(full_target_scalar_reference),0.002397098758518637,True,21.390035925757843,45901
trec-covid,45,selection,10,986,10,ad_probe,best_in_menu_on_eval,0.0,True,,45901
trec-covid,46,recalibration,10,877,10,ad_probe,ad_c(full_target_scalar_reference),0.002025184269909941,True,23.787486682904955,46901
trec-covid,46,selection,10,877,10,ad_probe,best_in_menu_on_eval,0.0,True,,46901
trec-covid,47,recalibration,10,898,10,ad_probe,ad_c(full_target_scalar_reference),0.005929168287462969,False,80.4058856893339,47901
trec-covid,47,selection,10,898,10,ad_probe,best_in_menu_on_eval,0.0,True,,47901
trec-covid,48,recalibration,10,934,10,ad_probe,ad_c(full_target_scalar_reference),0.003440176485305632,True,28.852495211383257,48901
trec-covid,48,selection,10,934,10,ad_probe,best_in_menu_on_eval,0.0,True,,48901
trec-covid,49,recalibration,10,976,10,ad_probe,ad_c(full_target_scalar_reference),0.009467781549730853,False,84.41214199574503,49901
trec-covid,49,selection,10,976,10,ad_probe,best_in_menu_on_eval,0.0,True,,49901
trec-covid,0,recalibration,20,1826,20,ad_probe,ad_c(full_target_scalar_reference),0.007034014398409311,False,77.56583510031817,2200423
