collection,k_requested,k_effective,clipped,repeat_id,seed,untouched,c_hat,c_star,ev_ad_probe,ev_glob_probe,ev_trunc,ev_ad,ev_ad_c,ev_glob,select3,select2,pick3,pick2,regret3,cal_loss,pair_pool_budget,n_eval
nfcorpus,30,30,False,0,2100629,False,6.436955233333003,13.873219121216042,0.1624959824723922,0.16809015299343608,0.14486034465350764,0.14723505611735746,0.16621670369041056,0.1615035342420635,0.16809015299343608,0.16809015299343608,glob_probe,glob_probe,0.0,0.0037207212180183635,2507,293
nfcorpus,30,30,False,1,2101629,False,19.624783798248522,13.873219121216042,0.1554873862873342,0.1592484032262222,0.1356377636632322,0.13767764771498525,0.15750701478124493,0.15297326348896828,0.1592484032262222,0.1592484032262222,glob_probe,glob_probe,0.0,0.002019628493910741,2309,293
nfcorpus,30,30,False,2,2102629,False,13.387834722711915,13.873219121216042,0.15599421349770443,0.13363338854056087,0.13093864414231268,0.13254292349010627,0.15560764475259242,0.14818972244470865,0.15599421349770443,0.13363338854056087,ad_probe,glob_probe,0.0,0.0003865687451120037,2334,293
nfcorpus,30,30,False,3,2103629,False,16.337884080363487,13.873219121216042,0.15794930528063159,0.15867544990673443,0.13425463619499373,0.1387867379716092,0.16066384453872737,0.15317775470340955,0.15867544990673443,0.15867544990673443,glob_probe,glob_probe,0.0,0.0027145392580957828,2559,293
nfcorpus,30,30,False,4,2104629,False,21.47969406245946,13.873219121216042,0.1607717391422231,0.16488074835258207,0.1408298684886048,0.14628233934029328,0.16395912672742533,0.16077150741795965,0.16488074835258207,0.16488074835258207,glob_probe,glob_probe,0.0,0.0031873875852022338,2491,293
nfcorpus,30,30,False,5,2105629,False,12.38175970240709,13.873219121216042,0.16644982118332255,0.1670584647387057,0.14124290499263406,0.14444125760867532,0.16545248821199107,0.15958165727628063,0.1670584647387057,0.1670584647387057,glob_probe,glob_probe,0.0,0.0009973329713314771,2427,293
nfcorpus,30,30,False,6,2106629,False,16.80095044530882,13.873219121216042,0.1585774116594464,0.16182223115994618,0.13580174989048005,0.1393496154309671,0.16119611051681063,0.15477924366539475,0.16182223115994618,0.16182223115994618,glob_probe,glob_probe,0.0,0.002618698857364238,2513,293
nfcorpus,30,30,False,7,2107629,False,12.508169248127327,13.873219121216042,0.15786383950032637,0.15744009754540705,0.13731068334246682,0.13846741736318616,0.15795114204410524,0.1527067500892989,0.15786383950032637,0.15744009754540705,ad_probe,glob_probe,0.0,8.730254377886659e-05,2388,293
nfcorpus,30,30,False,8,2108629,False,12.843312739478785,13.873219121216042,0.16269710246685623,0.13689205195937312,0.13786395358681325,0.13848919902584866,0.16252995569779694,0.15300544719744574,0.13689205195937312,0.13689205195937312,glob_probe,glob_probe,0.025805050507483107,0.00016714676905929537,2319,293
nfcorpus,30,30,False,9,2109629,False,13.058831182384683,13.873219121216042,0.1595478358369344,0.15813867070466806,0.1374760275197935,0.13756266675250395,0.15960004062801358,0.1527882990994284,0.15813867070466806,0.15813867070466806,glob_probe,glob_probe,0.0014091651322663545,5.220479107917453e-05,2573,293
nfcorpus,30,30,False,10,2110629,False,14.363475635652478,13.873219121216042,0.1605455114877673,0.162474758919888,0.13409019128876287,0.1371917830500773,0.1603027816328009,0.15340248556330913,0.162474758919888,0.162474758919888,glob_probe,glob_probe,0.0,0.00024272985496640032,2410,293
nfcorpus,30,30,False,11,2111629,False,14.976887282332864,13.873219121216042,0.1583315014518058,0.15957539801586829,0.13629043657361425,0.14120738344946335,0.1588079053700206,0.15493988031219813,0.15957539801586829,0.15957539801586829,glob_probe,glob_probe,0.0,0.0004764039182147961,2414,293
nfcorpus,30,30,False,12,2112629,False,13.967636924949446,13.873219121216042,0.1661159424554202,0.15540681154155495,0.142601096949411,0.14074003800962978,0.1662399354770007,0.15540681154155495,0.15540681154155495,0.15540681154155495,glob_probe,glob_probe,0.010709130913865245,0.00012399302158050407,2497,293
nfcorpus,30,30,False,13,2113629,False,11.975001364440335,13.873219121216042,0.1618599729797465,0.16036211636990988,0.13571764668418962,0.14029421266753292,0.16138376710260732,0.15390799052249232,0.1618599729797465,0.16036211636990988,ad_probe,glob_probe,0.0,0.00047620587713917417,2510,293
nfcorpus,30,30,False,14,2114629,False,20.28085397072433,13.873219121216042,0.16027705470627704,0.1639638897826851,0.1395975978002711,0.14277777061627275,0.16270338776186202,0.15596059559732983,0.1639638897826851,0.1639638897826851,glob_probe,glob_probe,0.0,0.002426333055584984,2312,293
nfcorpus,30,30,False,15,2115629,False,16.829308882450402,13.873219121216042,0.1595133942210764,0.1640313161971803,0.1402795918649296,0.1410482100396932,0.16313010643872924,0.15615583689267767,0.1640313161971803,0.1640313161971803,glob_probe,glob_probe,0.0,0.0036167122176528343,2705,293
nfcorpus,30,30,False,16,2116629,False,14.909700803314982,13.873219121216042,0.16016061900552248,0.14949590047638053,0.1352739941999233,0.13302646075664934,0.16043871964018105,0.14949590047638053,0.14949590047638053,0.14949590047638053,glob_probe,glob_probe,0.010664718529141942,0.00027810063465857904,2540,293
nfcorpus,30,30,False,17,2117629,False,10.222758590673326,13.873219121216042,0.1630673004555842,0.15948502646478405,0.13696647300271372,0.13865039139993052,0.16135266911912072,0.15345818076667211,0.15948502646478405,0.15948502646478405,glob_probe,glob_probe,0.003582273990800161,0.0017146313364634902,2544,293
nfcorpus,30,30,False,18,2118629,False,18.958730619153464,13.873219121216042,0.15776765666537612,0.16107800197331873,0.13661664002012297,0.14171835958483772,0.16060617805146069,0.15608776871425395,0.16107800197331873,0.16107800197331873,glob_probe,glob_probe,0.0,0.0028385213860845637,2352,293
nfcorpus,30,30,False,19,2119629,False,12.462559489337636,13.873219121216042,0.1588956751742206,0.1564731077058463,0.1318057322027177,0.1344203191774585,0.1590345021493007,0.15038948576389577,0.1564731077058463,0.1564731077058463,glob_probe,glob_probe,0.002422567468374298,0.00013882697508010855,2358,293
nfcorpus,30,30,False,20,2120629,False,15.161405979114711,13.873219121216042,0.16449787899352378,0.16638410926671074,0.14306194014146092,0.1438579238846269,0.16557719097220155,0.1604262623544896,0.16638410926671074,0.16638410926671074,glob_probe,glob_probe,0.0,0.0010793119786777772,2484,293
nfcorpus,30,30,False,21,2121629,False,20.776970698096434,13.873219121216042,0.15882943792265558,0.16283801991705216,0.1363688764230533,0.14076884470412387,0.16152384164668213,0.155096882282459,0.15882943792265558,0.15882943792265558,ad_probe,ad_probe,0.004008581994396576,0.002694403724026545,2386,293
nfcorpus,30,30,False,22,2122629,False,10.896238554440348,13.873219121216042,0.16314730597711471,0.1635605975645505,0.13643729692930423,0.14033578500138338,0.16196227556587778,0.15686554139107786,0.1635605975645505,0.16314730597711471,glob_probe,ad_probe,0.0,0.001185030411236937,2643,293
nfcorpus,30,30,False,23,2123629,False,19.40611984884419,13.873219121216042,0.1562946615711402,0.1605517901511371,0.13895213615009872,0.14174553661481595,0.15931509139286248,0.1557454327673415,0.1605517901511371,0.1605517901511371,glob_probe,glob_probe,0.0,0.0030204298217222925,2434,293
